user,total_emails,total_attachments,avg_email_size,off_hour_emails,weekend_emails,employee_name,user_id,O,C,E,A,N
BTS0011,5930,2270,29872.29797639123,1130,0,Blaze Trevor Stone,BTS0011,25,42,16,25,29
BTW0005,8950,5972,30050.931396648044,1605,0,Byron Tyrone Williamson,BTW0005,33,39,18,18,27
BVC0790,3768,2055,29657.492834394903,11,736,Blythe Veda Cooke,BVC0790,24,18,18,36,38
BVN0514,327,72,29945.363914373087,5,0,Buffy Vivien Nichols,BVN0514,36,23,30,23,22
BWH0813,3035,2169,30203.19967051071,646,0,Brock William Hunter,BWH0813,36,36,33,20,30
BWP0202,3663,1827,29822.819000819,706,0,Baxter William Price,BWP0202,20,36,15,25,28
BXJ0010,6058,0,29889.293000990427,895,0,Bethany Xerxes Johnson,BXJ0010,46,24,30,35,34
BYP0070,2060,0,30034.84708737864,290,0,Bertha Yetta Parrish,BYP0070,30,19,41,21,33
CAA0612,5372,3286,29935.168652271033,747,0,Chelsea Aspen Allen,CAA0612,20,41,32,42,31
CAB0388,2946,1908,29721.977257298033,481,0,Cedric Alexander Bowers,CAB0388,37,33,23,40,36
CAB0614,5335,3264,30084.894095595126,915,0,Cora Aurora Buckner,CAB0614,17,38,22,12,34
CAC0889,170,25,29852.229411764707,0,0,Caesar Allen Cash,CAC0889,46,49,32,41,27
CAH0936,1512,936,30168.59656084656,390,0,Constance Audrey Hicks,CAH0936,40,22,39,50,24
CAM0102,3038,0,30064.139894667544,681,0,Chandler Ashton Madden,CAM0102,31,44,19,15,27
CAM0681,3033,1521,30071.68480052753,63,0,Cole Aaron Mcfarland,CAM0681,41,43,45,10,28
CAN0842,338,0,30382.39349112426,54,0,Chadwick Armand Nunez,CAN0842,38,41,22,39,29
CAS0507,1003,529,30450.49551345962,18,0,Carla Amelia Shannon,CAS0507,14,46,33,11,25
CBB0365,3690,1571,30152.385365853657,489,0,Cain Byron Baldwin,CBB0365,37,17,20,41,33
CBG0398,3019,1119,30194.969195097714,322,0,Courtney Brynn Garrett,CBG0398,40,21,41,10,24
CBG0490,5029,1834,29676.475044740506,622,0,Callum Brendan Gonzalez,CBG0490,50,31,35,10,29
CCA0046,2157,1191,29716.274455261937,463,0,Cyrus Connor Atkinson,CCA0046,36,43,25,15,28
CCC0393,3056,628,30161.34980366492,340,0,Chaim Chadwick Chang,CCC0393,35,30,40,16,26
CCH0182,1012,694,30127.165019762844,187,0,Clayton Clark Humphrey,CCH0182,42,44,47,23,29
CCH0685,3049,2414,29715.947523778286,70,0,Cora Clementine Higgins,CCH0685,47,24,42,34,29
CCL0068,2521,827,30118.67631892106,394,0,Camilla Camille Leach,CCL0068,13,16,23,19,23
CCM0136,334,213,30172.84131736527,3,0,Cailin Casey Mckee,CCM0136,16,16,39,40,29
CCM0467,335,142,29466.96119402985,49,0,Chester Caldwell Mendoza,CCM0467,43,40,19,26,25
CCM0855,5114,877,30064.643723113022,575,0,Chanda Celeste Mosley,CCM0855,31,24,19,36,29
CCR0863,5096,0,30049.95251177394,852,0,Charde Cynthia Rasmussen,CCR0863,20,30,37,14,29
CCW0031,4717,1904,29988.18422726309,769,0,Clinton Coby Wolfe,CCW0031,33,47,30,39,33
CCW0524,1009,415,29789.679881070366,17,0,Camilla Claire Whitehead,CCW0524,40,25,20,21,25
CEB0210,4610,1687,29876.162689804773,916,0,Colin Evan Brown,CEB0210,42,24,44,23,34
CEJ0109,2751,0,30070.169029443838,0,0,Casey Edward Joyce,CEJ0109,21,46,17,17,32
CEL0561,3001,1379,30010.497167610796,36,0,Calvin Edan Love,CEL0561,40,39,36,19,40
CFG0959,338,254,30478.76923076923,83,0,Cassidy Florence Gibbs,CFG0959,42,21,24,17,20
CFM0767,1005,189,29538.923383084577,89,0,Cecilia Freya Morgan,CFM0767,46,23,22,35,29
CFW0264,524,0,29970.1679389313,101,0,Carl Ferdinand Wong,CFW0264,19,32,17,20,27
CGA0629,5046,0,30159.667261196988,678,0,Cullen Gary Adams,CGA0629,36,35,24,49,28
CGB0637,1020,550,29599.20882352941,230,0,Claudia Galena Baldwin,CGB0637,20,20,15,20,29
CGF0337,1012,0,30229.945652173912,225,0,Chaim Grant Fernandez,CGF0337,32,30,43,15,31
CHG0146,4648,1865,30104.343158347678,478,0,Cedric Herrod Gilliam,CHG0146,40,20,39,19,35
CHM0821,338,273,30288.71597633136,44,0,Carter Harrison Maldonado,CHM0821,48,11,39,19,23
CIG0052,3689,652,30055.580103008946,330,0,Chastity Ima Gibson,CIG0052,17,45,17,16,24
CIM0271,2991,1950,29820.759612169844,599,0,Colt Ishmael Mccall,CIM0271,24,27,10,20,38
CIM0926,2004,381,29854.250499001995,247,0,Caldwell Ian Maxwell,CIM0926,31,25,41,17,31
CJC0494,5031,2003,29897.90260385609,691,0,Caleb Jonas Chang,CJC0494,40,39,39,42,42
CJF0802,3030,1738,30135.245874587457,327,0,Camille Julie Freeman,CJF0802,36,39,38,43,21
CJG0470,337,0,29734.33234421365,21,0,Callum Jasper Gilmore,CJG0470,44,45,22,32,24
CJH0702,337,0,30796.308605341248,51,0,Calvin Jarrod Hood,CJH0702,46,24,30,25,37
CJK0200,3674,0,29841.54055525313,773,0,Cora Jane Kinney,CJK0200,40,29,24,38,31
CJM0138,326,248,29543.414110429447,6,0,Colorado Joel Merrill,CJM0138,10,40,21,17,23
CJM0521,1334,253,29703.809595202398,22,325,Cleo Jeanette Morales,CJM0521,13,18,37,18,24
CJP0952,335,182,31003.98208955224,83,0,Cody Jonathan Potter,CJP0952,45,18,25,18,27
CJV0286,1006,785,29673.04473161034,0,0,Colorado John Valentine,CJV0286,18,14,17,13,26
CKB0427,3029,1301,29678.709475074284,386,0,Cathleen Kelsey Burke,CKB0427,38,38,36,43,37
CKB0482,5036,0,30096.385623510723,653,0,Colton Kaseem Bolton,CKB0482,36,48,37,46,25
CKD0680,3045,1246,29655.20065681445,523,0,Cheyenne Kay Dickerson,CKD0680,18,50,24,18,28
CKH0144,3015,2052,30003.746600331677,553,0,Chloe Keiko Holland,CKH0144,34,22,22,35,30
CKP0721,337,0,30501.41246290801,50,0,Colt Kendall Perez,CKP0721,40,39,39,13,32
CLB0774,1000,522,30632.355,105,0,Charde Lareina Barrett,CLB0774,49,23,22,17,31
CLD0894,1011,0,30291.086053412462,0,0,Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36
CLF0852,4988,4240,30240.761427425823,859,0,Candice Lunea Fischer,CLF0852,36,45,28,18,26
CLH0703,332,61,30767.2921686747,52,0,Colin Lawrence Holder,CLH0703,48,41,47,28,29
CLS0296,336,0,29733.988095238095,7,0,Chiquita Linda Stokes,CLS0296,27,16,25,18,33
CMB0912,5723,3165,30058.77302114276,1522,960,Caleb Mason Ball,CMB0912,46,43,16,22,31
CMM0487,5005,0,30117.78101898102,612,0,Cora Maisie Mclean,CMM0487,39,22,42,40,30
CMS0454,336,147,30040.625,38,0,Cameran Madonna Shepard,CMS0454,43,23,28,15,25
CMW0783,996,0,30226.07730923695,80,0,Castor Mark Wolf,CMW0783,21,35,14,16,26
CNB0900,1007,0,30422.751737835155,0,0,Colton Nathan Barber,CNB0900,34,43,38,16,27
CNE0352,5950,1204,29856.7156302521,826,0,Cameron Noel Elliott,CNE0352,39,22,44,15,30
CNM0800,2994,2281,29596.24682698731,262,0,Charissa Nyssa Mcgee,CNM0800,32,11,40,38,24
COF0120,2554,1464,30144.456930305405,593,0,Clio Ocean Faulkner,COF0120,14,12,38,13,35
COM0321,5016,0,30029.994218500797,880,0,Claire Olivia Martin,COM0321,38,18,34,18,27
CPG0322,5012,3127,29862.164006384675,805,0,Connor Phelan Guerra,CPG0322,17,13,19,24,36
CQH0701,334,189,30279.31736526946,63,0,Caldwell Quamar Head,CQH0701,35,50,39,50,32
CQH0730,5068,1005,30003.436069455405,721,0,Cassady Quincy Hampton,CQH0730,21,18,37,49,27
CQW0652,974,0,30414.46406570842,211,0,Chastity Quyn Wilkerson,CQW0652,10,22,48,20,33
CRD0624,638,140,30184.83699059561,76,0,Christine Reagan Deleon,CRD0624,26,22,17,39,32
CRK0916,3363,695,29900.409158489445,562,0,Chandler Raymond Kirk,CRK0916,32,46,26,19,32
CRO0027,3037,1658,30120.913401382943,0,0,Cathleen Risa Oneal,CRO0027,19,30,28,46,26
CRP0456,335,279,30152.34328358209,40,0,Cade Rajah Patterson,CRP0456,37,41,28,43,30
CSB0080,3715,0,30023.061641991924,531,0,Catherine Savannah Bullock,CSB0080,35,19,39,34,36
CSC0217,1158,0,29798.45336787565,285,0,Cathleen Samantha Craig,CSC0217,40,15,30,38,28
CSH0626,5340,3215,29980.599812734083,873,520,Colin Stuart Holloway,CSH0626,33,17,41,18,23
CSJ0340,1017,356,30519.8534906588,158,0,Charity Stacey Jennings,CSJ0340,45,24,19,38,25
CSL0949,338,0,29402.044378698225,66,0,Cameron Shay Lester,CSL0949,36,20,18,25,28
CSP0197,3676,2139,30055.516050054408,395,0,Callum Scott Parrish,CSP0197,37,44,17,13,26
CTA0020,3640,2135,29958.481043956042,546,0,Curran Tarik Ayala,CTA0020,36,50,11,22,34
CTR0341,1467,899,30059.0572597137,315,425,Cairo Theodore Robles,CTR0341,45,39,23,13,28
CTR0697,334,233,28874.176646706586,64,0,Cherokee Tashya Ramirez,CTR0697,36,15,33,25,34
CTW0500,4974,3969,30084.474467229593,628,0,Chanda Tamekah William,CTW0500,38,36,20,35,35
CUD0795,3023,2502,30136.143235196825,290,0,Charity Uta Daniels,CUD0795,12,40,30,44,24
CWB0065,2985,1451,29808.77118927973,737,0,Chadwick Wayne Bond,CWB0065,50,33,14,20,23
CWR0502,4677,2527,29971.297626683772,659,0,Colt Walter Reynolds,CWR0502,41,49,25,45,27
CXC0336,1000,434,29963.956,197,0,Casey Xerxes Conrad,CXC0336,23,19,34,35,34
CYA0506,301,0,30156.382059800664,3,0,Cecilia Yuri Ashley,CYA0506,16,17,44,14,31
DAG0558,2983,1054,29920.059671471674,15,0,Deirdre Amaya Garcia,DAG0558,20,16,37,25,26
DAL0673,3008,1490,29781.547872340427,536,0,Demetrius Alvin Levy,DAL0673,39,35,46,41,36
DAR0885,109,60,28966.211009174312,0,35,Devin Abdul Rogers,DAR0885,43,43,44,41,25
DBB0384,3001,648,30375.617794068643,412,0,Demetrius Barry Bullock,DBB0384,40,41,28,37,27
DBG0261,3011,1000,30153.115576220524,467,0,Devin Brett Guzman,DBG0261,45,47,17,36,28
DBS0235,3034,657,29941.481212920236,433,0,Dale Benjamin Sharpe,DBS0235,30,38,18,37,33
DBW0483,5068,1862,30121.217442778216,624,0,Deborah Barbara White,DBW0483,17,16,25,21,37
DCC0160,6027,2160,29868.06719761075,922,0,Donovan Carlos Chapman,DCC0160,36,39,33,42,27
DCH0843,281,113,29451.921708185055,38,0,Dominic Calvin Hewitt,DCH0843,20,31,11,18,36
DDA0476,5045,2182,29936.70882061447,493,0,Dane Davis Atkins,DDA0476,36,25,39,13,39
DDM0579,337,0,30285.905044510386,24,0,Dale Dorian Mercado,DDM0579,33,45,30,37,26
DEB0782,1004,495,30315.220119521913,91,0,Dakota Edward Brady,DEB0782,42,47,32,21,36
DFH0188,1012,221,29772.954545454544,170,0,Dean Flynn Hines,DFH0188,35,40,18,38,24
DFR0218,3725,752,29949.368590604026,880,0,Daria Felicia Rowland,DFR0218,45,14,22,37,27
DGF0443,3007,0,30321.28134353176,373,0,Dustin Gage Franco,DGF0443,39,44,18,28,33
DGM0754,431,0,29876.960556844548,88,0,Declan Gareth Mclaughlin,DGM0754,42,18,42,24,24
DGN0480,4798,1810,29884.484993747395,547,0,Donovan Garth Nieves,DGN0480,21,25,44,20,31
DGW0752,4986,4103,29981.03690332932,811,0,Dennis Gray Wilson,DGW0752,40,46,20,40,14
DHM0937,3025,1085,30221.165619834712,725,0,Dominic Howard Mcconnell,DHM0937,43,22,21,15,24
DIB0081,1418,1125,29842.422425952045,232,0,Drew Ivan Beck,DIB0081,34,45,14,28,33
DIB0285,1613,618,29603.968381897088,0,0,Deanna Imelda Blanchard,DIB0285,13,45,17,50,29
DIC0988,3007,0,30218.38044562687,428,0,Dolan Igor Cortez,DIC0988,44,30,23,21,32
DID0650,1022,0,29741.079256360077,218,0,Denise Ifeoma Doyle,DID0650,45,21,17,42,21
DIW0118,4658,2401,29973.02189781022,1221,0,Delilah Iliana Wilkinson,DIW0118,37,17,19,37,26
DJB0159,6351,3361,29939.686506062037,1670,0,Dacey Jorden Bowen,DJB0159,20,37,27,38,37
DJS0682,3003,0,29591.84348984349,42,0,Dexter Jamal Simon,DJS0682,22,23,36,13,30
DKB0631,1007,486,30020.219463753725,239,0,Dai Keely Bullock,DKB0631,34,18,14,46,31
DLF0377,3025,1056,30016.849586776858,561,0,Dean Lester Figueroa,DLF0377,39,35,19,27,34
DLH0029,3040,573,30006.4125,356,0,Diana Leigh Hays,DLH0029,36,26,38,18,31
DLM0051,7573,4050,29955.738676878384,2047,1550,Declan Lester Moss,DLM0051,37,37,17,20,35
DLS0383,2987,2372,29819.82222966187,455,0,Diana Lillian Solis,DLS0383,10,21,12,25,24
DMG0358,3691,2880,29769.944188566784,469,0,Dorothy Marny Goff,DMG0358,19,39,14,25,29
DMK0257,3008,2162,30008.71143617021,564,0,Desirae Mari Koch,DMK0257,33,20,26,26,30
DMM0623,5217,4034,30017.347517730497,792,41,Doris Mona Michael,DMM0623,36,27,21,39,30
