user,total_emails,total_attachments,avg_email_size,off_hour_emails,weekend_emails,employee_name,user_id,O,C,E,A,N,anomaly_label,anomaly_flag,anomaly_score
AHC0142,3382,1844,30189.718805440567,684,286,Azalia Halee Cantu,AHC0142,34,23,40,15,26,1,0,0.10998628179269565
AHD0848,376,271,29807.81914893617,54,31,Aladdin Hu Day,AHD0848,24,30,49,16,30,1,0,0.09968745511805849
AHG0634,463,251,30719.27429805616,99,0,Amir Hayden Gray,AHG0634,31,36,42,41,27,1,0,0.09721745378091917
AHM0410,3063,1931,29957.748612471438,416,27,Addison Hiram Morrow,AHM0410,34,43,15,18,26,1,0,0.16302253987911636
AIB0948,328,66,30101.585365853654,80,0,Ariel Ina Barrett,AIB0948,42,31,27,20,31,1,0,0.16979904223721276
AIH0675,2994,1267,30023.188376753507,462,0,Aline Iris Hurst,AIH0675,25,39,38,40,37,1,0,0.15057474008410787
AIM0627,5009,0,29983.91994410062,750,0,Adam Ishmael Mcdaniel,AIM0627,36,39,16,41,23,1,0,0.1218184922980608
AIP0394,3044,1809,30219.256570302237,399,0,Anika Isabella Pennington,AIP0394,17,16,38,14,26,1,0,0.13157143037175173
AIP0982,3328,1864,29854.28094951923,577,0,Althea Ina Palmer,AIP0982,43,20,43,41,33,1,0,0.13861444011065666
AIS0405,2995,1355,29678.196994991653,407,0,Amaya Iola Sawyer,AIS0405,40,45,14,37,35,1,0,0.137510799677747
AJC0840,364,87,30738.021978021978,48,0,Anne Jane Carey,AJC0840,14,24,19,33,37,1,0,0.09275087229781837
AJD0074,3781,2144,30120.35731288019,985,373,Alden Jesse Day,AJD0074,19,37,45,22,34,1,0,0.07023685375206912
AJF0370,3927,2212,30341.451489686784,589,193,Arthur John Floyd,AJF0370,37,33,11,15,36,1,0,0.0941468336082566
AJH0175,4976,1042,30211.925442122185,876,0,Aurora Jael Hopkins,AJH0175,19,19,16,33,37,1,0,0.10448752741275924
AJL0462,338,181,30044.615384615383,56,0,Akeem Jerry Lopez,AJL0462,16,24,44,31,28,1,0,0.13377248157583477
AJN0607,5022,3717,29752.1027479092,678,0,Armand Jasper Nicholson,AJN0607,45,42,16,47,23,1,0,0.04210474290518762
AJP0723,337,0,30177.9940652819,54,0,Ann Jolie Potts,AJP0723,24,29,17,12,29,1,0,0.13475241938937338
AJR0319,6434,3286,30298.997979483996,1484,1411,Arthur Jacob Raymond,AJR0319,40,13,37,16,24,-1,1,-0.08088519130137994
AJR0932,1709,0,30017.51492100644,337,0,Amal Judah Rich,AJR0932,46,30,35,12,29,1,0,0.1430094260304533
AKC0924,3047,1336,29946.519855595667,442,0,Amena Karyn Christian,AKC0924,40,44,35,37,27,1,0,0.17351381085361967
AKF0709,331,0,29338.92447129909,51,0,Amity Kendall Foley,AKF0709,42,31,29,22,32,1,0,0.12572784254882824
AKH0758,1008,411,30344.751984126982,106,0,Adam Kendall Harrell,AKH0758,24,38,40,37,27,1,0,0.14530235205676245
AKK0329,1011,693,29979.563798219584,165,0,Anastasia Kylan Kaufman,AKK0329,45,22,25,39,22,1,0,0.14554156616796327
AKR0057,2459,446,30059.79097193981,372,0,Aurora Katell Rhodes,AKR0057,50,41,20,18,30,1,0,0.15196385006633878
AKW0167,3685,792,30094.18236092266,714,0,Arsenio Kato Wilder,AKW0167,38,38,20,14,35,1,0,0.1624232740344433
ALB0892,680,151,29952.011764705883,0,166,Arthur Lucian Bonner,ALB0892,25,19,44,22,30,1,0,0.10586876781710602
ALC0788,1004,668,30369.637450199203,139,0,Amy Lucy Chen,ALC0788,34,18,15,36,35,1,0,0.14003599858061777
ALD0529,993,578,30285.170191339377,13,0,Alma Leila Duncan,ALD0529,35,21,19,21,27,1,0,0.16874926991614958
ALD0544,2971,2087,30073.18007404914,414,0,Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32,1,0,0.12755431509863685
ALH0402,3039,1263,29808.00888450148,319,0,Adena Lisandra Hardin,ALH0402,43,23,43,46,32,1,0,0.12542375119060528
AMD0077,5984,2210,29734.398729946523,1440,0,Ainsley MacKensie Doyle,AMD0077,23,19,12,25,25,1,0,0.03219264246010245
AMH0464,337,127,29419.109792284868,38,0,Alfreda Morgan Holloway,AMH0464,45,16,42,37,21,1,0,0.10508395907031148
AMH0794,2957,1333,29991.35847142374,329,0,Ali Murphy Hurley,AMH0794,43,42,33,40,31,1,0,0.171915871328016
AMJ0297,330,0,30637.55757575757,2,0,Albert Mohammad Joseph,AMJ0297,16,43,50,18,28,1,0,0.06207999666094821
AMM0014,6029,0,30108.52861171007,710,0,Alec Mannix Mcneil,AMM0014,48,38,15,44,36,1,0,0.07852398072831285
AMR0318,4974,1007,30119.86369119421,879,0,Axel Malik Rosa,AMR0318,45,50,17,25,21,1,0,0.09898992843232773
AMR0400,2987,0,29819.65651155005,385,0,Aurelia Martina Reese,AMR0400,19,16,47,28,28,1,0,0.11582300485512392
AMV0036,4711,0,29808.875185735516,811,0,Aquila Mark Vega,AMV0036,43,36,42,37,26,1,0,0.12643783677788528
AMW0392,3956,706,29891.060161779576,599,866,Alea Maggie Whitfield,AMW0392,47,47,22,44,26,1,0,0.0438214956996118
ANM0123,270,184,29891.666666666668,30,0,Astra Nicole Maldonado,ANM0123,22,15,16,21,26,1,0,0.1367610559620211
ANP0555,3009,0,29985.15653040877,375,0,Alexa Nadine Poole,ANP0555,13,40,42,23,28,1,0,0.13383596793925712
ANT0430,3003,2129,29809.30036630037,465,0,Amaya Noelle Terrell,ANT0430,12,19,23,48,31,1,0,0.10538761834928273
AOB0019,3638,754,29894.587135788894,495,0,Azalia Orli Beach,AOB0019,11,17,13,24,28,1,0,0.12243897243268831
AOK0844,370,211,30846.643243243245,75,111,Armand Odysseus Key,AOK0844,11,30,44,26,31,1,0,0.049044196447398214
AOS0987,3017,1559,29971.71030825323,0,0,Alice Orli Stout,AOS0987,16,32,40,30,27,1,0,0.13159340075961223
APG0307,330,132,29305.418181818182,1,0,Aaron Porter Gutierrez,APG0307,43,39,36,43,22,1,0,0.1061601334775597
AQD0820,3018,1210,30396.96653412856,622,0,Akeem Quamar Davenport,AQD0820,41,31,27,24,39,1,0,0.1407836222127058
ARA0252,2981,2054,29871.842334786983,471,0,Alexander Rafael Arnold,ARA0252,39,39,27,21,35,1,0,0.1696909226296225
ARB0834,207,94,29684.710144927536,30,0,Amelia Rhoda Burgess,ARB0834,40,42,40,49,26,1,0,0.11347576904589668
ARB0881,1016,760,29696.366141732284,0,0,Abel Reese Boone,ARB0881,38,46,43,10,35,1,0,0.10252994573318774
ARD0509,994,613,30588.818913480885,18,0,Abdul Ralph Deleon,ARD0509,50,40,35,32,32,1,0,0.11963380872915069
ARL0034,4670,1619,30079.105995717346,872,0,August Ronan Lucas,ARL0034,41,39,27,21,26,1,0,0.1535713886944407
ASB0796,2298,850,30290.52828546562,294,0,Ayanna Sylvia Blankenship,ASB0796,30,40,23,38,34,1,0,0.15197823785336922
ASD0577,329,0,30248.662613981764,26,0,Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,1,0,0.1101044061983012
ASG0048,3631,2988,29989.74084274305,401,0,Alec Scott Goff,ASG0048,41,36,19,24,37,1,0,0.1375400639214226
ASG0692,2990,707,29707.754180602005,66,0,Anastasia Sage Griffith,ASG0692,26,40,41,23,27,1,0,0.1418117968222795
ASL0378,2992,1408,30163.7814171123,539,0,Axel Seth Lewis,ASL0378,15,15,41,21,27,1,0,0.14428784596919125
ASM0575,330,283,29928.484848484848,35,0,Aurora Sarah Manning,ASM0575,42,25,21,45,30,1,0,0.15029961542128295
ASS0206,4660,0,29922.06330472103,911,0,Ashely Sarah Shields,ASS0206,12,18,20,28,30,1,0,0.09990077446349149
ASS0517,1011,571,30654.524233432247,12,0,Alfreda Sierra Savage,ASS0517,36,35,47,44,32,1,0,0.09050628539344213
ASV0946,331,284,30807.495468277943,88,0,Alice Sierra Valenzuela,ASV0946,35,12,46,17,26,1,0,0.08298035423410371
ATE0869,7519,4531,29953.61165048544,1219,2092,Aquila Tanner Ellison,ATE0869,13,15,40,44,33,-1,1,-0.10823824017720773
ATF0274,3019,1862,29615.13812520702,605,0,Alea Tana Ferrell,ATF0274,20,45,48,27,28,1,0,0.09941380859844323
ATP0662,5103,3819,29872.842445620223,159,277,Aurora Tatiana Payne,ATP0662,17,16,41,20,39,1,0,0.02417641744573329
AVM0947,337,74,30544.86646884273,81,0,Ayanna Vivian Murray,AVM0947,10,25,30,44,39,1,0,0.07358097129107743
AWM0764,1003,216,29951.934197407776,122,0,Akeem William Mayer,AWM0764,47,37,39,42,36,1,0,0.14574652118022563
BAH0875,5386,917,30133.130894912734,686,0,Brianna Aretha Hopper,BAH0875,43,19,26,17,30,1,0,0.14863903281859897
BAJ0654,986,517,29923.324543610543,223,0,Brock Aladdin Joyce,BAJ0654,36,10,47,10,41,1,0,0.05936465227463272
BAK0964,340,133,30463.99411764706,64,0,Beatrice Alexis Kidd,BAK0964,25,16,22,18,28,1,0,0.1328464016938034
BAL0044,3696,2418,30091.76542207792,815,0,Byron Armand Livingston,BAL0044,14,41,26,44,30,1,0,0.11643847452237738
BAM0611,5016,3049,29957.359250398724,708,0,Brielle Aubrey Marks,BAM0611,25,30,39,23,25,1,0,0.12462830430930283
BAM0636,1001,193,29857.72127872128,196,0,Brenda Alika Matthews,BAM0636,13,40,46,42,39,1,0,0.08670705113725818
BBG0325,5032,2509,29732.17865659777,913,0,Blair Bruno Grimes,BBG0325,41,50,30,37,40,1,0,0.07658849916591776
BBH0810,3035,0,30306.330148270183,701,0,Bruno Beau Hoover,BBH0810,40,25,10,21,32,1,0,0.11100433350293648
BBS0039,1679,710,29753.76593210244,377,0,Bevis Brady Sheppard,BBS0039,44,37,34,21,40,1,0,0.1350623217290679
BBS0422,3487,1922,29867.85001433897,543,399,Buckminster Benjamin Swanson,BBS0422,39,42,29,41,18,1,0,0.08364635903757
BCB0679,2439,1687,30062.648626486265,393,0,Buckminster Connor Bush,BCB0679,46,36,39,31,31,1,0,0.16765513167784718
BCM0653,1021,209,30178.9833496572,229,0,Bevis Christopher Mcknight,BCM0653,45,34,41,18,31,1,0,0.16431628434295886
BCR0581,329,245,29933.49848024316,31,0,Bruno Carter Robles,BCR0581,20,11,34,36,30,1,0,0.1326040063386576
BDB0453,338,0,29332.659763313608,47,0,Brett Damian Beck,BDB0453,41,42,27,41,26,1,0,0.12050200890572837
BDI0533,1302,706,29780.524577572964,15,285,Bruno Donovan Ingram,BDI0533,37,36,15,41,19,1,0,0.07048481865227052
BDV0168,2427,846,30064.23073753605,404,0,Blair Deborah Vaughn,BDV0168,45,31,19,21,31,1,0,0.17569178734826768
BEC0505,5019,2676,30000.263996812115,672,0,Bruce Eden Clemons,BEC0505,35,21,30,19,32,1,0,0.14732286164972552
BEH0615,5123,2730,30103.44329494437,840,15,Barclay Eaton Hensley,BEH0615,24,20,50,22,26,1,0,0.09301767024120927
BER0314,4963,986,30238.158976425548,850,0,Bianca Elizabeth Roach,BER0314,23,20,18,19,32,1,0,0.1259939461885793
BHC0665,2973,2331,30245.266061217622,255,0,Blaine Helen Cervantes,BHC0665,14,21,12,12,32,1,0,0.09508770845792658
BHW0458,333,153,30922.68768768769,36,0,Beau Hall Watts,BHW0458,36,32,28,30,29,1,0,0.1076759931439405
BIH0745,2087,1469,29749.15955917585,320,0,Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,1,0,0.11254959537405468
BIS0247,2984,598,30203.46481233244,406,0,Bryar Ivana Sweet,BIS0247,36,19,18,39,37,1,0,0.15197932196890074
BJH0354,4727,0,29868.257668711656,553,0,Bert Jason Henderson,BJH0354,22,21,31,20,36,1,0,0.1320576763102816
BJH0811,3038,0,29900.20375246873,696,0,Blaze Jakeem Hahn,BJH0811,48,39,44,14,40,1,0,0.08495512678118472
BJM0111,1082,712,29881.523105360444,0,48,Bell Jorden Martinez,BJM0111,22,24,39,41,19,1,0,0.10676241428127864
BJP0134,338,207,30323.76627218935,7,0,Beck John Peters,BJP0134,42,17,44,21,39,1,0,0.11418933916810253
BJW0619,4973,976,29861.956364367587,859,0,Blaine Jelani Weeks,BJW0619,30,43,47,21,39,1,0,0.08980066313081259
BKW0374,3612,1212,30058.34025470653,538,0,Blossom Keiko Weiss,BKW0374,41,38,17,46,27,1,0,0.15895584276456326
BLB0114,3016,2694,30060.930702917773,0,0,Brent Laith Beck,BLB0114,38,48,41,15,22,1,0,0.10420244162358933
BLL0929,2981,1314,30055.57799396176,722,0,Bethany Lydia Lyons,BLL0929,44,49,10,41,39,1,0,0.0937657588161327
BLS0678,1729,1169,29768.91960670908,276,0,Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31,1,0,0.1494059979559585
BMC0547,3034,0,30296.58998022413,385,0,Britanni Marah Cash,BMC0547,41,18,22,21,35,1,0,0.15463377390895933
BMG0917,3039,617,29831.986837775585,448,0,Beverly Melissa Garner,BMG0917,43,36,41,23,34,1,0,0.16597128227875835
BMM0112,1013,350,29920.38104639684,0,0,Barry Martin Mason,BMM0112,40,36,24,40,25,1,0,0.16397626156597211
BMS0877,1786,1346,29865.20940649496,277,0,Brynn Madeline Sherman,BMS0877,31,50,11,43,33,1,0,0.0876450446130757
BMT0528,1010,768,30206.80891089109,11,0,Brittany Mona Terry,BMT0528,33,25,39,25,30,1,0,0.17122816240432337
BNG0237,3008,2404,29886.67553191489,441,0,Brian Nathaniel Greer,BNG0237,39,36,36,47,27,1,0,0.15316995100745423
BNR0965,333,241,29342.3963963964,82,0,Basia Nevada Riggs,BNR0965,47,19,15,20,22,1,0,0.09618296528708653
BQS0525,142,76,29700.323943661973,0,41,Britanney Quail Snyder,BQS0525,42,38,19,45,30,1,0,0.11061210749595962
BRB0355,4389,2421,29998.231259968103,57,969,Burke Randall Burnett,BRB0355,33,21,37,19,29,1,0,0.03629446554716087
BRM0995,3044,1665,29647.359724047303,571,0,Brianna Rebecca Mcintyre,BRM0995,20,11,32,26,40,1,0,0.08834990705500423
BRS0734,1497,931,29545.795591182366,280,233,Burke Rooney Stafford,BRS0734,32,39,47,10,30,1,0,0.0639185899757917
BSA0431,3044,618,29985.483902759526,427,0,Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29,1,0,0.15874251435120645
BSB0990,3015,1271,29914.03416252073,791,0,Bruce Sawyer Barrera,BSB0990,34,44,13,43,37,1,0,0.1163364860757033
BSH0445,3043,1248,29617.097272428524,449,0,Bethany Stephanie Haynes,BSH0445,38,22,30,15,21,1,0,0.12776427824590475
BSS0369,2300,491,30380.55826086957,297,432,Brenden Samuel Shaffer,BSS0369,39,42,34,14,32,1,0,0.09879022560160078
BSS0463,335,326,30654.17910447761,39,0,Bruno Stewart Silva,BSS0463,32,40,40,38,28,1,0,0.11787733010991619
BTL0226,1862,974,30082.817937701395,235,0,Bernard Tobias Landry,BTL0226,36,44,37,38,31,1,0,0.16345152459039103
BTL0722,334,153,29629.79341317365,63,0,Blair Todd Long,BTL0722,39,41,36,17,49,1,0,0.07998966510741812
BTN0061,3031,2340,30221.633784229627,472,0,Benjamin Tyrone Norman,BTN0061,42,21,22,20,22,1,0,0.1493523698642008
BTR0403,3003,583,29821.283383283386,435,0,Beck Troy Richards,BTR0403,47,47,21,17,28,1,0,0.15545952974151062
BTS0011,5930,2270,29872.29797639123,1130,0,Blaze Trevor Stone,BTS0011,25,42,16,25,29,1,0,0.09012110943255047
BTW0005,8950,5972,30050.931396648044,1605,0,Byron Tyrone Williamson,BTW0005,33,39,18,18,27,-1,1,-0.029905408724786642
BVC0790,3768,2055,29657.492834394903,11,736,Blythe Veda Cooke,BVC0790,24,18,18,36,38,1,0,0.015759926787177414
BVN0514,327,72,29945.363914373087,5,0,Buffy Vivien Nichols,BVN0514,36,23,30,23,22,1,0,0.1484717190657624
BWH0813,3035,2169,30203.19967051071,646,0,Brock William Hunter,BWH0813,36,36,33,20,30,1,0,0.17482797864071803
BWP0202,3663,1827,29822.819000819,706,0,Baxter William Price,BWP0202,20,36,15,25,28,1,0,0.14698595813163157
BXJ0010,6058,0,29889.293000990427,895,0,Bethany Xerxes Johnson,BXJ0010,46,24,30,35,34,1,0,0.11211916417961426
BYP0070,2060,0,30034.84708737864,290,0,Bertha Yetta Parrish,BYP0070,30,19,41,21,33,1,0,0.1570861035604847
CAA0612,5372,3286,29935.168652271037,747,0,Chelsea Aspen Allen,CAA0612,20,41,32,42,31,1,0,0.0981123920945366
CAB0388,2946,1908,29721.977257298036,481,0,Cedric Alexander Bowers,CAB0388,37,33,23,40,36,1,0,0.15023644616258341
CAB0614,5335,3264,30084.89409559513,915,0,Cora Aurora Buckner,CAB0614,17,38,22,12,34,1,0,0.07677039382711542
CAC0889,170,25,29852.229411764707,0,0,Caesar Allen Cash,CAC0889,46,49,32,41,27,1,0,0.10996642886849822
CAH0936,1512,936,30168.59656084656,390,0,Constance Audrey Hicks,CAH0936,40,22,39,50,24,1,0,0.09900266957604892
CAM0102,3038,0,30064.139894667544,681,0,Chandler Ashton Madden,CAM0102,31,44,19,15,27,1,0,0.14348824901469082
CAM0681,3033,1521,30071.68480052753,63,0,Cole Aaron Mcfarland,CAM0681,41,43,45,10,28,1,0,0.1269258556566128
CAN0842,338,0,30382.39349112426,54,0,Chadwick Armand Nunez,CAN0842,38,41,22,39,29,1,0,0.1484318008943044
CAS0507,1003,529,30450.49551345962,18,0,Carla Amelia Shannon,CAS0507,14,46,33,11,25,1,0,0.07114227255374028
CBB0365,3690,1571,30152.385365853657,489,0,Cain Byron Baldwin,CBB0365,37,17,20,41,33,1,0,0.15792362964425471
CBG0398,3019,1119,30194.969195097718,322,0,Courtney Brynn Garrett,CBG0398,40,21,41,10,24,1,0,0.13670410151060058
CBG0490,5029,1834,29676.475044740502,622,0,Callum Brendan Gonzalez,CBG0490,50,31,35,10,29,1,0,0.10213070344730185
CCA0046,2157,1191,29716.274455261937,463,0,Cyrus Connor Atkinson,CCA0046,36,43,25,15,28,1,0,0.15598995124408183
CCC0393,3056,628,30161.34980366492,340,0,Chaim Chadwick Chang,CCC0393,35,30,40,16,26,1,0,0.17017651283896412
CCH0182,1012,694,30127.165019762844,187,0,Clayton Clark Humphrey,CCH0182,42,44,47,23,29,1,0,0.14582879140348343
CCH0685,3049,2414,29715.947523778286,70,0,Cora Clementine Higgins,CCH0685,47,24,42,34,29,1,0,0.12507094613749092
CCL0068,2521,827,30118.67631892106,394,0,Camilla Camille Leach,CCL0068,13,16,23,19,23,1,0,0.12773176081570942
CCM0136,334,213,30172.84131736527,3,0,Cailin Casey Mckee,CCM0136,16,16,39,40,29,1,0,0.12199122475116009
CCM0467,335,142,29466.96119402985,49,0,Chester Caldwell Mendoza,CCM0467,43,40,19,26,25,1,0,0.13231821776769376
CCM0855,5114,877,30064.643723113026,575,0,Chanda Celeste Mosley,CCM0855,31,24,19,36,29,1,0,0.14803422534800165
CCR0863,5096,0,30049.95251177394,852,0,Charde Cynthia Rasmussen,CCR0863,20,30,37,14,29,1,0,0.12009313723655574
CCW0031,4717,1904,29988.18422726309,769,0,Clinton Coby Wolfe,CCW0031,33,47,30,39,33,1,0,0.1349540237590411
CCW0524,1009,415,29789.67988107037,17,0,Camilla Claire Whitehead,CCW0524,40,25,20,21,25,1,0,0.15281699616696176
CEB0210,4610,1687,29876.162689804773,916,0,Colin Evan Brown,CEB0210,42,24,44,23,34,1,0,0.11517117804350896
CEJ0109,2751,0,30070.16902944384,0,0,Casey Edward Joyce,CEJ0109,21,46,17,17,32,1,0,0.12333147941207584
CEL0561,3001,1379,30010.4971676108,36,0,Calvin Edan Love,CEL0561,40,39,36,19,40,1,0,0.11912679868784487
CFG0959,338,254,30478.76923076923,83,0,Cassidy Florence Gibbs,CFG0959,42,21,24,17,20,1,0,0.1168388355861073
CFM0767,1005,189,29538.923383084577,89,0,Cecilia Freya Morgan,CFM0767,46,23,22,35,29,1,0,0.1484211865514306
CFW0264,524,0,29970.1679389313,101,0,Carl Ferdinand Wong,CFW0264,19,32,17,20,27,1,0,0.14575720153588667
CGA0629,5046,0,30159.667261196988,678,0,Cullen Gary Adams,CGA0629,36,35,24,49,28,1,0,0.11701097813901312
CGB0637,1020,550,29599.20882352941,230,0,Claudia Galena Baldwin,CGB0637,20,20,15,20,29,1,0,0.12727068796324814
CGF0337,1012,0,30229.945652173912,225,0,Chaim Grant Fernandez,CGF0337,32,30,43,15,31,1,0,0.1424306028827752
CHG0146,4648,1865,30104.34315834768,478,0,Cedric Herrod Gilliam,CHG0146,40,20,39,19,35,1,0,0.1527988142589719
CHM0821,338,273,30288.71597633136,44,0,Carter Harrison Maldonado,CHM0821,48,11,39,19,23,1,0,0.1214604524934812
CIG0052,3689,652,30055.580103008942,330,0,Chastity Ima Gibson,CIG0052,17,45,17,16,24,1,0,0.13335346426597566
CIM0271,2991,1950,29820.759612169844,599,0,Colt Ishmael Mccall,CIM0271,24,27,10,20,38,1,0,0.10461877258405905
CIM0926,2004,381,29854.250499001995,247,0,Caldwell Ian Maxwell,CIM0926,31,25,41,17,31,1,0,0.16154873515124835
CJC0494,5031,2003,29897.90260385609,691,0,Caleb Jonas Chang,CJC0494,40,39,39,42,42,1,0,0.09889688667168411
CJF0802,3030,1738,30135.245874587457,327,0,Camille Julie Freeman,CJF0802,36,39,38,43,21,1,0,0.14018668436934212
CJG0470,337,0,29734.33234421365,21,0,Callum Jasper Gilmore,CJG0470,44,45,22,32,24,1,0,0.14489198615745336
CJH0702,337,0,30796.308605341248,51,0,Calvin Jarrod Hood,CJH0702,46,24,30,25,37,1,0,0.09291689707249506
CJK0200,3674,0,29841.54055525313,773,0,Cora Jane Kinney,CJK0200,40,29,24,38,31,1,0,0.15466506729486224
CJM0138,326,248,29543.414110429447,6,0,Colorado Joel Merrill,CJM0138,10,40,21,17,23,1,0,0.06767042086637132
CJM0521,1334,253,29703.8095952024,22,325,Cleo Jeanette Morales,CJM0521,13,18,37,18,24,1,0,0.06558012894552168
CJP0952,335,182,31003.98208955224,83,0,Cody Jonathan Potter,CJP0952,45,18,25,18,27,1,0,0.08917931432107251
CJV0286,1006,785,29673.04473161034,0,0,Colorado John Valentine,CJV0286,18,14,17,13,26,1,0,0.10021541258731481
CKB0427,3029,1301,29678.709475074284,386,0,Cathleen Kelsey Burke,CKB0427,38,38,36,43,37,1,0,0.1394941134544357
CKB0482,5036,0,30096.385623510723,653,0,Colton Kaseem Bolton,CKB0482,36,48,37,46,25,1,0,0.10839357982796599
CKD0680,3045,1246,29655.20065681445,523,0,Cheyenne Kay Dickerson,CKD0680,18,50,24,18,28,1,0,0.10896178800295298
CKH0144,3015,2052,30003.74660033168,553,0,Chloe Keiko Holland,CKH0144,34,22,22,35,30,1,0,0.17108640764041916
CKP0721,337,0,30501.41246290801,50,0,Colt Kendall Perez,CKP0721,40,39,39,13,32,1,0,0.12304658925980888
CLB0774,1000,522,30632.355,105,0,Charde Lareina Barrett,CLB0774,49,23,22,17,31,1,0,0.12714268094576342
CLD0894,1011,0,30291.086053412462,0,0,Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36,1,0,0.09286324300451604
CLF0852,4988,4240,30240.761427425823,859,0,Candice Lunea Fischer,CLF0852,36,45,28,18,26,1,0,0.0765443793920147
CLH0703,332,61,30767.2921686747,52,0,Colin Lawrence Holder,CLH0703,48,41,47,28,29,1,0,0.07798470929386658
CLS0296,336,0,29733.98809523809,7,0,Chiquita Linda Stokes,CLS0296,27,16,25,18,33,1,0,0.13107334721015934
CMB0912,5723,3165,30058.77302114276,1522,960,Caleb Mason Ball,CMB0912,46,43,16,22,31,-1,1,-0.015110934586346714
CMM0487,5005,0,30117.78101898102,612,0,Cora Maisie Mclean,CMM0487,39,22,42,40,30,1,0,0.1330017579342771
CMS0454,336,147,30040.625,38,0,Cameran Madonna Shepard,CMS0454,43,23,28,15,25,1,0,0.15525640867071994
CMW0783,996,0,30226.07730923695,80,0,Castor Mark Wolf,CMW0783,21,35,14,16,26,1,0,0.13856211602022522
CNB0900,1007,0,30422.751737835155,0,0,Colton Nathan Barber,CNB0900,34,43,38,16,27,1,0,0.14141185465691686
CNE0352,5950,1204,29856.7156302521,826,0,Cameron Noel Elliott,CNE0352,39,22,44,15,30,1,0,0.11710312783328936
CNM0800,2994,2281,29596.24682698731,262,0,Charissa Nyssa Mcgee,CNM0800,32,11,40,38,24,1,0,0.10501571207052396
COF0120,2554,1464,30144.456930305405,593,0,Clio Ocean Faulkner,COF0120,14,12,38,13,35,1,0,0.09884308956974858
COM0321,5016,0,30029.9942185008,880,0,Claire Olivia Martin,COM0321,38,18,34,18,27,1,0,0.1405399810512033
CPG0322,5012,3127,29862.164006384675,805,0,Connor Phelan Guerra,CPG0322,17,13,19,24,36,1,0,0.0693109722747115
CQH0701,334,189,30279.31736526946,63,0,Caldwell Quamar Head,CQH0701,35,50,39,50,32,1,0,0.0937103211480812
